transaction_id,investor_id,transaction_date,transaction_type,amount_inr,state,city,city_tier,age_group,gender,kyc_status,scheme_name,fund_house,category
20,INV000968,2024-01-01 00:00:00.000000,Lumpsum,497564.0,Tamil Nadu,Chennai,T30,36-45,Female,Verified,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt
21,INV000983,2024-01-01 00:00:00.000000,SIP,3538.0,Telangana,Hyderabad,T30,36-45,Male,Verified,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
22,INV001023,2024-01-01 00:00:00.000000,SIP,4865.0,Gujarat,Ahmedabad,T30,36-45,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
23,INV001041,2024-01-01 00:00:00.000000,SIP,8547.0,Madhya Pradesh,Bhopal,B30,18-25,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
24,INV001400,2024-01-01 00:00:00.000000,SIP,10696.0,Tamil Nadu,Coimbatore,B30,36-45,Male,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
25,INV001497,2024-01-01 00:00:00.000000,SIP,3295.0,Maharashtra,Mumbai,T30,36-45,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
26,INV001540,2024-01-01 00:00:00.000000,SIP,16264.0,Maharashtra,Pune,T30,26-35,Female,Verified,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
27,INV001665,2024-01-01 00:00:00.000000,SIP,3322.0,Telangana,Hyderabad,T30,36-45,Male,Verified,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
28,INV002054,2024-01-01 00:00:00.000000,SIP,1111.0,Telangana,Hyderabad,T30,26-35,Male,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
29,INV002139,2024-01-01 00:00:00.000000,Redemption,359482.0,Haryana,Gurugram,T30,36-45,Female,Verified,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
30,INV002157,2024-01-01 00:00:00.000000,Lumpsum,112928.0,Punjab,Chandigarh,T30,26-35,Male,Verified,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
31,INV002166,2024-01-01 00:00:00.000000,SIP,1139.0,Haryana,Gurugram,T30,36-45,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
32,INV002219,2024-01-01 00:00:00.000000,Redemption,525983.0,Karnataka,Mysore,B30,26-35,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
33,INV002253,2024-01-01 00:00:00.000000,Redemption,289915.0,West Bengal,Kolkata,T30,46-55,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
34,INV002316,2024-01-01 00:00:00.000000,SIP,4715.0,Punjab,Amritsar,B30,26-35,Male,Verified,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
35,INV002328,2024-01-01 00:00:00.000000,SIP,29901.0,Haryana,Gurugram,T30,26-35,Male,Verified,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
36,INV002338,2024-01-01 00:00:00.000000,Lumpsum,292991.0,Delhi,New Delhi,T30,26-35,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
37,INV002387,2024-01-01 00:00:00.000000,SIP,2891.0,Telangana,Hyderabad,T30,26-35,Male,Verified,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
38,INV002432,2024-01-01 00:00:00.000000,SIP,3513.0,Haryana,Gurugram,T30,46-55,Female,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
39,INV002592,2024-01-01 00:00:00.000000,Lumpsum,411860.0,Madhya Pradesh,Bhopal,B30,26-35,Female,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
40,INV002782,2024-01-01 00:00:00.000000,Lumpsum,250209.0,Punjab,Chandigarh,T30,18-25,Male,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
41,INV002885,2024-01-01 00:00:00.000000,Lumpsum,430566.0,Delhi,Gurugram,T30,26-35,Male,Pending,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
42,INV002893,2024-01-01 00:00:00.000000,SIP,8472.0,Telangana,Hyderabad,T30,56+,Male,Pending,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
43,INV002942,2024-01-01 00:00:00.000000,Redemption,233200.0,Delhi,Noida,T30,36-45,Male,Verified,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
44,INV002952,2024-01-01 00:00:00.000000,Redemption,392882.0,Punjab,Amritsar,B30,18-25,Male,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
45,INV002966,2024-01-01 00:00:00.000000,SIP,15946.0,Gujarat,Ahmedabad,T30,26-35,Female,Verified,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
46,INV002984,2024-01-01 00:00:00.000000,Redemption,230179.0,Delhi,Gurugram,T30,26-35,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
47,INV003054,2024-01-01 00:00:00.000000,SIP,1834.0,Telangana,Hyderabad,T30,56+,Female,Verified,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
48,INV003329,2024-01-01 00:00:00.000000,Lumpsum,295055.0,Madhya Pradesh,Indore,T30,56+,Male,Verified,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
49,INV003420,2024-01-01 00:00:00.000000,SIP,912.0,Haryana,Faridabad,B30,36-45,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
50,INV003436,2024-01-01 00:00:00.000000,SIP,1102.0,Maharashtra,Mumbai,T30,36-45,Female,Pending,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
51,INV003664,2024-01-01 00:00:00.000000,SIP,15555.0,Rajasthan,Udaipur,B30,46-55,Male,Verified,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
52,INV003670,2024-01-01 00:00:00.000000,SIP,10672.0,Punjab,Chandigarh,T30,36-45,Male,Verified,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
53,INV004128,2024-01-01 00:00:00.000000,Redemption,58934.0,Haryana,Faridabad,B30,18-25,Male,Verified,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
54,INV004154,2024-01-01 00:00:00.000000,SIP,1897.0,Karnataka,Mysore,B30,18-25,Male,Verified,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
55,INV004174,2024-01-01 00:00:00.000000,SIP,57353.0,Rajasthan,Udaipur,B30,18-25,Male,Verified,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
56,INV004308,2024-01-01 00:00:00.000000,SIP,25855.0,Gujarat,Surat,T30,26-35,Female,Verified,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
57,INV004347,2024-01-01 00:00:00.000000,SIP,1862.0,West Bengal,Kolkata,T30,36-45,Male,Verified,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
58,INV004548,2024-01-01 00:00:00.000000,Lumpsum,564276.0,Delhi,Noida,T30,36-45,Female,Verified,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
59,INV004648,2024-01-01 00:00:00.000000,SIP,17860.0,Maharashtra,Pune,T30,36-45,Male,Pending,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
60,INV004691,2024-01-01 00:00:00.000000,Lumpsum,8682.0,Delhi,Noida,T30,26-35,Male,Pending,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
61,INV004770,2024-01-01 00:00:00.000000,Lumpsum,92031.0,Gujarat,Surat,T30,18-25,Female,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
62,INV004915,2024-01-01 00:00:00.000000,SIP,14096.0,Uttar Pradesh,Kanpur,B30,26-35,Male,Verified,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
63,INV004918,2024-01-01 00:00:00.000000,Redemption,153828.0,Punjab,Amritsar,B30,56+,Female,Verified,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
64,INV000006,2024-01-02 00:00:00.000000,SIP,8594.0,Madhya Pradesh,Bhopal,B30,46-55,Female,Verified,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity
65,INV000105,2024-01-02 00:00:00.000000,SIP,5253.0,Punjab,Chandigarh,T30,56+,Male,Verified,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity
66,INV000313,2024-01-02 00:00:00.000000,Lumpsum,497034.0,Tamil Nadu,Chennai,T30,18-25,Female,Verified,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
67,INV000339,2024-01-02 00:00:00.000000,Redemption,383487.0,Uttar Pradesh,Kanpur,B30,26-35,Male,Verified,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity
68,INV000349,2024-01-02 00:00:00.000000,Redemption,335222.0,Maharashtra,Mumbai,T30,18-25,Female,Verified,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
69,INV000370,2024-01-02 00:00:00.000000,SIP,17394.0,Delhi,Noida,T30,26-35,Female,Verified,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
70,INV000662,2024-01-02 00:00:00.000000,SIP,427.0,Gujarat,Surat,T30,36-45,Female,Verified,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
71,INV000983,2024-01-02 00:00:00.000000,SIP,10547.0,Telangana,Hyderabad,T30,36-45,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
72,INV001017,2024-01-02 00:00:00.000000,Redemption,16893.0,West Bengal,Kolkata,T30,26-35,Female,Verified,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
73,INV001106,2024-01-02 00:00:00.000000,Lumpsum,50410.0,Tamil Nadu,Chennai,T30,26-35,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
74,INV001156,2024-01-02 00:00:00.000000,SIP,28986.0,Madhya Pradesh,Indore,T30,56+,Female,Pending,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
75,INV001174,2024-01-02 00:00:00.000000,SIP,977.0,Maharashtra,Nashik,B30,36-45,Male,Verified,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
76,INV001284,2024-01-02 00:00:00.000000,Lumpsum,6499.0,West Bengal,Kolkata,T30,36-45,Male,Verified,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
77,INV001328,2024-01-02 00:00:00.000000,Redemption,484947.0,Uttar Pradesh,Lucknow,T30,26-35,Male,Verified,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
78,INV001506,2024-01-02 00:00:00.000000,Lumpsum,19502.0,Delhi,Noida,T30,26-35,Female,Verified,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
79,INV001699,2024-01-02 00:00:00.000000,SIP,1108.0,Madhya Pradesh,Indore,T30,26-35,Male,Verified,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity
80,INV001727,2024-01-02 00:00:00.000000,SIP,16687.0,Gujarat,Surat,T30,46-55,Female,Verified,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
81,INV001799,2024-01-02 00:00:00.000000,Lumpsum,116421.0,Rajasthan,Udaipur,B30,56+,Female,Verified,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
82,INV001888,2024-01-02 00:00:00.000000,Redemption,410786.0,Delhi,New Delhi,T30,18-25,Female,Verified,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity
83,INV001890,2024-01-02 00:00:00.000000,SIP,859.0,Madhya Pradesh,Bhopal,B30,26-35,Male,Verified,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
84,INV002135,2024-01-02 00:00:00.000000,Lumpsum,437305.0,Gujarat,Ahmedabad,T30,56+,Male,Verified,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity
85,INV002165,2024-01-02 00:00:00.000000,SIP,2539.0,Telangana,Hyderabad,T30,46-55,Male,Verified,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
86,INV002196,2024-01-02 00:00:00.000000,SIP,1696.0,Delhi,Gurugram,T30,26-35,Female,Verified,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
87,INV002374,2024-01-02 00:00:00.000000,Redemption,81173.0,Uttar Pradesh,Kanpur,B30,26-35,Female,Verified,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity
88,INV002546,2024-01-02 00:00:00.000000,Redemption,22305.0,Gujarat,Surat,T30,26-35,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
89,INV002560,2024-01-02 00:00:00.000000,SIP,6321.0,Haryana,Faridabad,B30,26-35,Male,Verified,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt
90,INV002621,2024-01-02 00:00:00.000000,SIP,401.0,Uttar Pradesh,Agra,B30,26-35,Female,Pending,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
91,INV002811,2024-01-02 00:00:00.000000,SIP,2631.0,Uttar Pradesh,Agra,B30,36-45,Male,Verified,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
92,INV002817,2024-01-02 00:00:00.000000,Lumpsum,26453.0,Gujarat,Ahmedabad,T30,26-35,Male,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
93,INV002868,2024-01-02 00:00:00.000000,SIP,59797.0,Gujarat,Ahmedabad,T30,26-35,Female,Verified,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
94,INV002940,2024-01-02 00:00:00.000000,SIP,966.0,Haryana,Faridabad,B30,26-35,Male,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
95,INV002961,2024-01-02 00:00:00.000000,SIP,16811.0,Gujarat,Ahmedabad,T30,26-35,Male,Verified,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
96,INV002976,2024-01-02 00:00:00.000000,Lumpsum,234926.0,Tamil Nadu,Coimbatore,B30,26-35,Male,Verified,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
97,INV002981,2024-01-02 00:00:00.000000,Lumpsum,100110.0,Maharashtra,Mumbai,T30,18-25,Female,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
98,INV003027,2024-01-02 00:00:00.000000,Lumpsum,330642.0,Telangana,Hyderabad,T30,26-35,Male,Verified,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
99,INV003028,2024-01-02 00:00:00.000000,SIP,25360.0,Tamil Nadu,Chennai,T30,26-35,Female,Verified,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity
100,INV003208,2024-01-02 00:00:00.000000,SIP,2506.0,Madhya Pradesh,Bhopal,B30,46-55,Male,Verified,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
101,INV003225,2024-01-02 00:00:00.000000,SIP,3346.0,West Bengal,Kolkata,T30,26-35,Male,Verified,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
102,INV003232,2024-01-02 00:00:00.000000,SIP,9766.0,Maharashtra,Pune,T30,36-45,Female,Verified,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
103,INV003383,2024-01-02 00:00:00.000000,Redemption,241316.0,Karnataka,Mysore,B30,18-25,Male,Verified,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity
104,INV003505,2024-01-02 00:00:00.000000,Lumpsum,362856.0,West Bengal,Kolkata,T30,56+,Female,Verified,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
105,INV003649,2024-01-02 00:00:00.000000,Redemption,483596.0,Haryana,Gurugram,T30,46-55,Female,Verified,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity
106,INV003658,2024-01-02 00:00:00.000000,SIP,12014.0,West Bengal,Kolkata,T30,26-35,Male,Verified,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
107,INV003821,2024-01-02 00:00:00.000000,SIP,7584.0,Delhi,Noida,T30,18-25,Female,Pending,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity
108,INV003865,2024-01-02 00:00:00.000000,SIP,3482.0,Gujarat,Ahmedabad,T30,18-25,Female,Verified,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity
109,INV003892,2024-01-02 00:00:00.000000,SIP,7250.0,Punjab,Amritsar,B30,46-55,Male,Verified,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
110,INV003926,2024-01-02 00:00:00.000000,SIP,1891.0,West Bengal,Kolkata,T30,46-55,Male,Verified,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
111,INV003942,2024-01-02 00:00:00.000000,SIP,16594.0,Haryana,Faridabad,B30,26-35,Female,Verified,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
112,INV004127,2024-01-02 00:00:00.000000,SIP,4185.0,Madhya Pradesh,Indore,T30,36-45,Female,Verified,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
113,INV004296,2024-01-02 00:00:00.000000,SIP,879.0,Telangana,Hyderabad,T30,26-35,Male,Verified,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt
114,INV004414,2024-01-02 00:00:00.000000,SIP,14409.0,Uttar Pradesh,Lucknow,T30,26-35,Male,Verified,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity
115,INV004502,2024-01-02 00:00:00.000000,SIP,10492.0,Rajasthan,Udaipur,B30,36-45,Male,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
116,INV004514,2024-01-02 00:00:00.000000,SIP,16661.0,Haryana,Faridabad,B30,46-55,Male,Verified,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
117,INV004516,2024-01-02 00:00:00.000000,SIP,1137.0,Haryana,Gurugram,T30,36-45,Male,Verified,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity
118,INV004567,2024-01-02 00:00:00.000000,SIP,14130.0,Telangana,Hyderabad,T30,56+,Male,Verified,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
119,INV004582,2024-01-02 00:00:00.000000,Lumpsum,249744.0,Tamil Nadu,Chennai,T30,56+,Male,Verified,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
120,INV004656,2024-01-02 00:00:00.000000,Lumpsum,357937.0,Haryana,Gurugram,T30,18-25,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
121,INV004658,2024-01-02 00:00:00.000000,Lumpsum,17258.0,Punjab,Chandigarh,T30,56+,Male,Verified,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity
122,INV000007,2024-01-03 00:00:00.000000,SIP,13603.0,Uttar Pradesh,Kanpur,B30,26-35,Male,Verified,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
123,INV000011,2024-01-03 00:00:00.000000,SIP,2230.0,West Bengal,Kolkata,T30,26-35,Male,Verified,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt
124,INV000321,2024-01-03 00:00:00.000000,SIP,15782.0,Maharashtra,Mumbai,T30,26-35,Male,Verified,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
125,INV000431,2024-01-03 00:00:00.000000,SIP,23759.0,Madhya Pradesh,Bhopal,B30,18-25,Female,Verified,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity
126,INV000454,2024-01-03 00:00:00.000000,SIP,15910.0,Uttar Pradesh,Lucknow,T30,18-25,Female,Verified,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity
127,INV000527,2024-01-03 00:00:00.000000,Lumpsum,114021.0,Telangana,Hyderabad,T30,26-35,Male,Verified,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity
128,INV000595,2024-01-03 00:00:00.000000,Lumpsum,124825.0,Gujarat,Surat,T30,18-25,Male,Verified,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
129,INV000632,2024-01-03 00:00:00.000000,Lumpsum,246606.0,Delhi,Gurugram,T30,36-45,Male,Verified,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt
130,INV000679,2024-01-03 00:00:00.000000,Redemption,141968.0,Haryana,Faridabad,B30,46-55,Female,Verified,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity
131,INV000690,2024-01-03 00:00:00.000000,Lumpsum,173646.0,Delhi,Gurugram,T30,46-55,Male,Verified,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity
132,INV000747,2024-01-03 00:00:00.000000,Lumpsum,374549.0,West Bengal,Kolkata,T30,36-45,Female,Verified,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity
133,INV000849,2024-01-03 00:00:00.000000,Lumpsum,254442.0,Delhi,Gurugram,T30,56+,Female,Verified,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity
134,INV000947,2024-01-03 00:00:00.000000,Redemption,281989.0,Delhi,Noida,T30,26-35,Male,Verified,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt
135,INV000954,2024-01-03 00:00:00.000000,SIP,2224.0,Haryana,Faridabad,B30,26-35,Female,Verified,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity
136,INV001167,2024-01-03 00:00:00.000000,SIP,8419.0,Punjab,Amritsar,B30,36-45,Male,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
137,INV001167,2024-01-03 00:00:00.000000,SIP,41124.0,Punjab,Amritsar,B30,36-45,Male,Verified,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt
138,INV001350,2024-01-03 00:00:00.000000,Lumpsum,83480.0,Madhya Pradesh,Bhopal,B30,46-55,Female,Verified,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity
139,INV001367,2024-01-03 00:00:00.000000,SIP,10274.0,Maharashtra,Nashik,B30,36-45,Male,Verified,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity
140,INV001411,2024-01-03 00:00:00.000000,SIP,2998.0,Delhi,Gurugram,T30,26-35,Female,Verified,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity
141,INV001454,2024-01-03 00:00:00.000000,SIP,554.0,Tamil Nadu,Chennai,T30,26-35,Male,Verified,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity
142,INV001508,2024-01-03 00:00:00.000000,SIP,7953.0,Tamil Nadu,Coimbatore,B30,46-55,Male,Verified,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity
143,INV001769,2024-01-03 00:00:00.000000,SIP,889.0,Punjab,Chandigarh,T30,18-25,Male,Pending,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity
