amfi_code,fund_house,scheme_name,category,plan,alpha_pct,beta,r_squared,p_value,regression_days
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Regular,16.25385327998104,0.04189646272811977,0.0012571178108220743,0.2297848810754314,1149
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Regular,16.211256794033254,0.016682689437770827,0.00018619166432850165,0.6440466770890052,1149
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Direct,15.643835948169668,-0.03663900671860934,0.0011382947171084282,0.25315678850632384,1149
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Direct,15.136354648239239,-0.001433521389780133,2.0253408972328425e-06,0.9615666405413443,1149
149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Regular,13.173190226099432,-0.004050271130006534,1.322760788085046e-05,0.9019895024405024,1149
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Regular,13.042924450705446,0.036356399022199795,0.0012113711061211869,0.23845930871566398,1149
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Direct,11.98910097121797,0.009054412621739154,4.043746553634244e-05,0.8295182110189219,1149
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Regular,10.897091901704538,-0.06528924788351524,0.0010641052735572622,0.26923382859979983,1149
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Direct,8.232801295222094,0.02588321244009315,0.0005692038090244872,0.4191212046285576,1149
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Regular,7.80443887615508,0.01805687420811816,0.0001691554883831436,0.6596465767530768,1149
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Regular,6.899529821677549,0.009730745001153637,8.082637693810774e-05,0.7608083592013819,1149
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Regular,6.746210411099539,-0.0004440926329707234,0.00013430661440679868,0.6947484438507019,1149
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Regular,6.4556774953759986,-0.00040074423947840013,0.00010125435692271723,0.7333100820090805,1149
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Regular,6.086145795787115,0.00026670968338238433,4.6076236771052326e-05,0.8182140691419648,1149
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Regular,5.620895216638369,-0.006413850728276477,0.00043426033217200524,0.48038566300028684,1149
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Regular,5.074772999976104,0.0012566742731558458,1.651665231033275e-05,0.8905486864137591,1149
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Direct,4.882421594553985,0.06200180438267168,0.0010259205326765965,0.27800396233826247,1149
119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Regular,4.801595363775955,-0.066951174639292,0.0011851593464486715,0.24360834209000382,1149
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Regular,4.281792031506088,0.0011582183155281463,1.4612842041845034e-05,0.8970124515162725,1149
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Regular,3.747580763443281,-0.0582684314388089,0.002665032698133324,0.0802644248369961,1149
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Regular,2.8969397866379443,-0.04212502902189432,0.0008964294600687582,0.31057770814660457,1149
