amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,nav_end_date,nav_end,cagr_1yr_pct,cagr_1yr_available,cagr_3yr_pct,cagr_3yr_available,cagr_5yr_pct,cagr_5yr_available,cagr_1yr_start_date,cagr_3yr_start_date,cagr_5yr_start_date
149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.61,2026-05-29,245.3651,21.497414349538225,True,26.863103668817146,True,,False,2025-05-29,2023-05-29,
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,1.43,2026-05-29,309.205,82.85157468100046,True,26.66309129954312,True,,False,2025-05-29,2023-05-29,
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.64,2026-05-29,378.9657,13.59304393755194,True,25.549670172502026,True,,False,2025-05-29,2023-05-29,
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.51,2026-05-29,110.5554,34.007895823651204,True,22.646647456747715,True,,False,2025-05-29,2023-05-29,
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,0.72,2026-05-29,91.601,25.559539940517382,True,21.084691029380597,True,,False,2025-05-29,2023-05-29,
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.75,2026-05-29,58.4203,19.781538524100494,True,20.8115598266319,True,,False,2025-05-29,2023-05-29,
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,0.89,2026-05-29,326.7508,22.510248103762276,True,20.00321571698329,True,,False,2025-05-29,2023-05-29,
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,1.57,2026-05-29,187.7797,20.222858595384665,True,19.662361245910965,True,,False,2025-05-29,2023-05-29,
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.92,2026-05-29,1204.9571,28.6975804558778,True,18.429918008610045,True,,False,2025-05-29,2023-05-29,
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,1.41,2026-05-29,404.4207,41.85299002066023,True,18.417429266835228,True,,False,2025-05-29,2023-05-29,
149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.54,2026-05-29,606.2349,18.12461925339035,True,18.03973982038829,True,,False,2025-05-29,2023-05-29,
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.59,2026-05-29,482.127,16.849551529398422,True,17.263014444437943,True,,False,2025-05-29,2023-05-29,
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.66,2026-05-29,137.7323,5.7101178520777784,True,16.263375081360643,True,,False,2025-05-29,2023-05-29,
148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,1.52,2026-05-29,205.451,14.279834500870736,True,14.744434832760533,True,,False,2025-05-29,2023-05-29,
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.42,2026-05-29,118.1496,8.495135972254552,True,13.974980348212673,True,,False,2025-05-29,2023-05-29,
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,0.78,2026-05-29,188.3619,15.455077019290385,True,11.242518737374208,True,,False,2025-05-29,2023-05-29,
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,2026-05-29,134.6683,15.822866445588701,True,8.0060298597036,True,,False,2025-05-29,2023-05-29,
120842,Kotak Mahindra MF,Kotak Emerging Equity Fund - Regular - Growth,Equity,Mid Cap,Regular,1.56,2026-05-29,82.6457,22.518986942465922,True,7.75416750547262,True,,False,2025-05-29,2023-05-29,
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.74,2026-05-29,388.5939,7.430320855847317,True,7.392538786263403,True,,False,2025-05-29,2023-05-29,
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.6,2026-05-29,4268.5497,7.125369741102916,True,6.694394239074852,True,,False,2025-05-29,2023-05-29,
101208,Aditya Birla Sun Life MF,ABSL Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.79,2026-05-29,410.1021,7.241777200393584,True,6.314299292105274,True,,False,2025-05-29,2023-05-29,
119120,SBI Mutual Fund,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,Gilt,Regular,0.77,2026-05-29,54.2038,5.525880326360788,True,5.838988442093762,True,,False,2025-05-29,2023-05-29,
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,0.55,2026-05-29,37.8243,10.462462788080341,True,4.061259859840338,True,,False,2025-05-29,2023-05-29,
100025,HDFC Mutual Fund,HDFC Short Term Debt Fund - Regular - Growth,Debt,Short Duration,Regular,0.56,2026-05-29,31.8843,3.7075527018896492,True,3.9154793546847033,True,,False,2025-05-29,2023-05-29,
100016,HDFC Mutual Fund,HDFC Top 100 Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.55,2026-05-29,583.6113,-2.2257773892688015,True,1.2923525892154508,True,,False,2025-05-29,2023-05-29,
119092,Axis Mutual Fund,Axis Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.64,2026-05-29,50.8387,1.61022963455828,True,0.5257668501786883,True,,False,2025-05-29,2023-05-29,
102886,UTI Mutual Fund,UTI Mid Cap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.51,2026-05-29,125.564,-16.807959958672036,True,-0.7672319440258146,True,,False,2025-05-29,2023-05-29,
119599,SBI Mutual Fund,SBI Small Cap Fund - Direct Plan - Growth,Equity,Small Cap,Direct,0.72,2026-05-29,105.4849,13.957994357447735,True,-1.337083602283895,True,,False,2025-05-29,2023-05-29,
101207,Aditya Birla Sun Life MF,ABSL Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,2026-05-29,53.9836,-24.000309180292632,True,-4.151453816140693,True,,False,2025-05-29,2023-05-29,
119095,Axis Mutual Fund,Axis Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.38,2026-05-29,56.1319,-42.81949516662213,True,-11.703299329834216,True,,False,2025-05-29,2023-05-29,
