amfi_code,fund_house,scheme_name,category,sub_category,plan,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,cagr_5yr_available,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,r_squared,max_drawdown_pct,drawdown_start_date,drawdown_trough_date,drawdown_recovery_date,return_3yr_rank_score,sharpe_rank_score,alpha_rank_score,expense_rank_score,max_drawdown_rank_score,score_0_100,tracking_error_nifty100_pct,tracking_error_nifty50_pct
118636,Nippon India MF,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Gilt,Regular,0.55,10.462462788080341,4.061259859840338,,False,3.631211434065539,3.3727480304525668,-0.8505789759662293,-1.2383022198784406,5.074772999976104,0.0012566742731558458,1.651665231033275e-05,-8.316361763638703,2023-02-09,2024-02-09,2024-11-01,82.5,90.0,87.5,2.5,15.0,66.62,,
120844,Kotak Mahindra MF,Kotak Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.6,7.125369741102916,6.694394239074852,,False,4.614907735094514,0.4712319548628601,-4.000348969233409,-7.768003070332341,6.4556774953759986,-0.00040074423947840013,0.00010125435692271723,-0.11629327956168556,2024-04-12,2024-04-30,2024-05-03,75.0,97.5,80.0,7.5,5.0,64.5,,
120507,ICICI Prudential MF,ICICI Pru Liquid Fund - Regular - Growth,Debt,Liquid,Regular,0.74,7.430320855847317,7.392538786263403,,False,4.822542504748042,0.45955424467816686,-3.6501838785684804,-7.2082337488982695,6.746210411099539,-0.0004440926329707234,0.00013430661440679868,-0.09773140045925555,2025-10-16,2025-10-20,2025-10-24,72.5,95.0,77.5,17.5,2.5,63.88,,
120841,Kotak Mahindra MF,Kotak Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.59,16.849551529398422,17.263014444437943,,False,9.405630002008191,11.389383315023299,0.2551174125622313,0.3766193408262904,13.042924450705446,0.036356399022199795,0.0012113711061211869,-17.57361416468729,2024-01-09,2025-02-14,2025-12-04,55.00000000000001,60.0,62.5,87.5,60.0,63.12,,
118634,Nippon India MF,Nippon India Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.53,15.822866445588701,8.0060298597036,,False,12.740641404379566,21.34696587931458,0.2923432510109931,0.4113036004766504,17.50072167561127,0.1034966369133759,0.0027930065610663243,-23.34488614483311,2025-04-09,2026-02-20,2026-04-15,67.5,57.49999999999999,45.0,71.25,80.0,62.31,,
125498,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,Mid Cap,Direct,0.78,15.455077019290385,11.242518737374208,,False,8.592088484593447,15.520192817080062,0.1347978410610397,0.19294712720125948,11.98910097121797,0.009054412621739154,4.043746553634244e-05,-21.11727956013212,2025-04-04,2025-09-12,2026-02-18,65.0,65.0,65.0,25.0,72.5,59.75,,
149322,DSP Mutual Fund,DSP Top 100 Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.54,18.12461925339035,18.03973982038829,,False,9.409879926976204,12.141529821671087,0.23966336777285185,0.3329520941712112,13.173190226099432,-0.004050271130006534,1.322760788085046e-05,-14.844576917771747,2022-01-03,2022-02-04,2022-05-17,52.5,62.5,60.0,76.25,40.0,58.81,,
102887,UTI Mutual Fund,UTI Flexi Cap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.64,13.59304393755194,25.549670172502026,,False,11.627698030881493,13.331254069504203,0.3846373345033844,0.571857543023029,16.211256794033254,0.016682689437770827,0.00018619166432850165,-21.539827112383225,2022-01-03,2022-07-04,2023-03-16,32.5,55.00000000000001,52.5,98.75,75.0,56.31,,
119093,Axis Mutual Fund,Axis Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.75,19.781538524100494,20.8115598266319,,False,5.9433671910602515,11.82482043206589,-0.04707325681075887,-0.06789981210009577,8.232801295222094,0.02588321244009315,0.0005692038090244872,-21.751396370148225,2022-02-24,2023-05-22,2023-12-26,40.0,70.0,70.0,20.0,77.5,54.25,,
120506,ICICI Prudential MF,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,Value,Regular,1.41,41.85299002066023,18.417429266835228,,False,11.71362158251039,12.885373550313032,0.40461547832920497,0.5781364061026487,16.25385327998104,0.04189646272811977,0.0012571178108220743,-19.82565826298267,2023-03-31,2023-08-14,2024-01-11,50.0,47.5,50.0,47.5,67.5,50.75,,
148568,Mirae Asset MF,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Large & Mid Cap,Regular,1.52,14.279834500870736,14.744434832760533,,False,14.866087533335284,13.05827825255206,0.6406730942266643,0.9557671943813263,20.873010086942337,-0.026387719943843004,0.0004859264752797316,-15.27259422823477,2023-09-05,2024-01-24,2024-04-25,60.0,37.5,35.0,66.25,47.5,49.06,,
120503,ICICI Prudential MF,ICICI Pru Bluechip Fund - Regular - Growth,Equity,Large Cap,Regular,1.42,8.495135972254552,13.974980348212673,,False,12.569219372774596,11.749520419593235,0.5165503915082101,0.7329158023031636,17.703302365844074,-0.0402689523698206,0.001397444608331861,-13.897862823061635,2023-09-19,2023-11-09,2024-03-11,62.5,42.5,42.5,50.0,35.0,48.88,,
102885,UTI Mutual Fund,UTI Nifty 50 Index Fund - Regular - Growth,Equity,Index,Regular,1.57,20.222858595384665,19.662361245910965,,False,12.146939540005636,10.863737121166011,0.519797145036178,0.7729719235511076,17.048756803412697,-0.019486785689474526,0.00038285030730923834,-10.85986215250232,2022-02-03,2022-03-29,2022-05-23,45.0,40.0,47.5,85.0,17.5,47.5,,
118635,Nippon India MF,Nippon India ETF Nifty 50 BeES,Equity,Index/ETF,Direct,0.89,22.510248103762276,20.00321571698329,,False,10.819292907873196,10.985306633798695,0.39318819691240564,0.5694261625753935,15.136354648239239,-0.001433521389780133,2.0253408972328425e-06,-11.650624505409091,2022-01-03,2022-06-09,2023-01-09,42.5,50.0,57.49999999999999,32.5,25.0,44.12,,
118633,Nippon India MF,Nippon India Large Cap Fund - Direct - Growth,Equity,Large Cap,Direct,0.72,25.559539940517382,21.084691029380597,,False,11.10469272541956,11.842466866302143,0.38882884600017426,0.5886328565297932,15.643835948169668,-0.03663900671860934,0.0011382947171084282,-18.62974313859551,2023-10-30,2024-02-29,2024-07-26,37.5,52.5,55.00000000000001,13.750000000000002,65.0,43.94,,
125497,HDFC Mutual Fund,HDFC Top 100 Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.92,28.6975804558778,18.429918008610045,,False,12.784118487243203,12.412510324744543,0.5062729716095956,0.7347975997481632,17.729754927531765,0.04882040425957739,0.0018401792783071585,-15.200013055606398,2023-12-22,2025-01-01,2025-04-16,47.5,45.0,40.0,35.0,45.0,43.25,,
119552,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,0.66,5.7101178520777784,16.263375081360643,,False,14.148439472812365,11.798750618901819,0.6482414723266908,0.9265632920561696,19.86859936686296,-0.026159307513513405,0.0005850821704543426,-11.803493502764296,2024-05-21,2024-09-02,2025-02-11,57.49999999999999,35.0,37.5,10.0,27.500000000000004,37.75,,
118632,Nippon India MF,Nippon India Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.51,34.007895823651204,22.646647456747715,,False,15.589574179989107,11.978074493866073,0.7588510310771439,1.0988795112458638,21.829397904608644,-0.008353832126962021,5.7917562701278335e-05,-17.41407508665723,2024-01-02,2024-07-19,2025-05-21,35.0,20.0,27.500000000000004,61.25000000000001,57.49999999999999,35.94,,
149323,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.61,21.497414349538225,26.863103668817146,,False,19.012349884465205,15.02289807114623,0.8328852279505965,1.167793379907482,26.598577542043046,-0.002523004664699247,3.357978192008859e-06,-17.24810575345138,2022-06-06,2022-10-24,2022-12-20,27.500000000000004,15.0,20.0,95.0,55.00000000000001,35.75,,
149324,DSP Mutual Fund,DSP Small Cap Fund - Regular - Growth,Equity,Small Cap,Regular,1.52,65.19546577826334,26.99350260734621,,False,21.51648931199568,21.01908465972875,0.7144216579881012,1.0309617308730283,30.05787817097677,0.011455159960520708,3.5329906267955625e-05,-31.171900300634213,2024-05-03,2025-01-03,2025-06-13,25.0,30.0,5.0,66.25,92.5,35.19,,
101206,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,1.6,47.96379447633372,28.960211096593724,,False,15.347166831278516,12.332110247769963,0.7174089959890172,1.06390859680118,21.399784776051213,0.02108631625012803,0.0003480482030714251,-11.291596329323072,2023-04-24,2023-07-05,2023-09-28,22.5,25.0,30.0,91.25,22.5,34.94,,
119598,SBI Mutual Fund,SBI Small Cap Fund - Regular Plan - Growth,Equity,Small Cap,Regular,1.43,82.85157468100046,26.66309129954312,,False,21.639807381226877,21.27303133602435,0.7116901743847246,1.0672557743438265,30.336965386983323,-0.023196062044059693,0.0001414257550272171,-28.706005721764548,2024-08-28,2025-05-14,2025-09-29,30.0,32.5,2.5,52.5,90.0,34.5,,
148569,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,1.6,39.78380253854239,29.17135767741186,,False,20.253117366629514,14.96454949053764,0.9190465356358284,1.3528150221233657,28.27036785246582,0.018133884083859245,0.00017488886568129566,-16.39674294693263,2023-08-10,2023-10-20,2024-04-10,20.0,7.5,10.0,91.25,52.5,28.81,,
119551,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,1.54,60.489297118400344,30.448613060027817,,False,16.518798671520766,11.63654183022033,0.8609773262277757,1.2914833497690066,23.201007160635083,-0.03175144113890972,0.0008869788879322809,-15.012385498645331,2023-08-24,2024-02-05,2025-01-08,15.0,12.5,25.0,76.25,42.5,28.31,,
119094,Axis Mutual Fund,Axis Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,22.277897154308548,35.10252788903541,,False,18.498961473769388,16.42463139678321,0.7305467735561728,1.0552844773147765,26.07666908004223,-0.06626542862803757,0.001936878936960232,-20.960883862039193,2022-04-14,2022-08-11,2023-01-17,2.5,22.5,22.5,42.5,70.0,24.25,,
120504,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,0.8,13.073788394478303,32.478927222623,,False,15.189944144183364,12.159171405589163,0.7146822636441237,1.0639638792991957,21.19482701352573,0.016232169761417007,0.00021216129075887457,-12.588275606922517,2022-10-04,2023-05-30,2023-07-11,7.5,27.500000000000004,32.5,30.0,30.0,23.12,,
100033,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,1.38,53.277195495404996,32.43397122906222,,False,19.455820981566937,16.029119278668055,0.8082678003905593,1.1442164603950202,27.19535450128533,0.0051035258305283104,1.2066520635068168e-05,-16.217208574644847,2022-03-11,2022-05-12,2022-07-27,10.0,17.5,15.0,42.5,50.0,21.75,,
120843,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,1.45,26.677583918827153,29.57511058901836,,False,19.490975224138804,13.454333708270202,0.965560651744012,1.4795034584167766,27.330465038306055,-0.02282956979242654,0.00034305434271514465,-12.97396816518679,2022-03-07,2022-04-13,2022-09-22,17.5,5.0,12.5,55.00000000000001,32.5,20.5,,
120505,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,1.36,29.627681171526877,31.769242852237323,,False,20.9245787807528,16.331148626873556,0.8832556184698839,1.2858427838168305,29.26358334175106,0.000549004250631712,1.3455341675668847e-07,-18.188513572116292,2024-10-24,2025-01-23,2025-03-07,12.5,10.0,7.5,37.5,62.5,19.62,,
148567,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,1.46,20.37595706234765,33.991970400445304,,False,19.345399235710925,12.025007220633226,1.0682238272314735,1.4907389522947083,26.98375144191807,0.023683558075848623,0.0004625436906623847,-11.265729075028275,2023-07-11,2023-10-20,2024-02-21,5.0,2.5,17.5,57.49999999999999,20.0,16.25,,
